2078,852479,533,667015,8104,946271,294076,630,65077,317976,101554
827,72257,42429,37881,681061,546,381,310,49395,51424,11552
351,22362,84804,3500,8899,835688,16809,84427,919525,156002,119898
620,93788,66377,6862,828459,361,485,943951,404610,6301,12163
93047,967,862,304,9475,3237,8215,1214,455036,3390,122
7881,2670,83723,4652,561,2239,86459,81725,3800,96234,123245
256044,74371,247,360057,4734,4204,1005,8113,48997,5865,12580
903,5018,3393,5253,475,217,473333,4932,8532,3892,131
763,121359,40432,559,541,5278,535299,659673,64555,741,14253
674,6001,8068,61545,455680,8107,34274,4129,716,73883,1466
3845,94319,8272,6282,617,292,78096,841250,47475,167174,1534
754,591,694810,1683,332284,742,2668,57085,148,5280,1651
719832,716016,966759,722564,835889,475,33167,2101,316,61396,168
9341,7124,5273,196,80434,2479,5719,72397,3414,29884,16823
786752,9039,661,963,71486,2287,48570,3945,268,289,192
213,357,544,601249,8208,50751,4592,7658,72634,59333,19602
825,95662,749,6047,3229,12692,889549,531921,91819,306,2168
4788,765972,24576,202671,315,8885,433211,743295,298655,133,223
5645,109,77864,6486,73940,4058,690251,8127,57536,6345,230765
8575,3914,626591,972,42504,865955,80704,76321,3082,551,237454
225506,85242,967,9929,569166,7569,198,93221,8853,530677,247666
18932,3982,760117,5074,450443,504743,52228,64176,574586,6893,24849
50260,43958,38561,3682,7158,710056,3964,124091,122133,38107,250
954227,476,5800,706,164134,754,615,8201,1524,72076,256
9469,69538,375,37769,1274,1178,392,505,5140,75627,2664
344,228,66527,36421,30126,79942,6492,3383,444712,738,270895
878949,1913,449085,3981,56468,8976,368242,72820,375,63863,283
3783,38030,872,656,346,91509,2577,127,1000,6101,290812
74540,929,280853,28297,60838,781,85136,6044,58124,73960,2928
138381,832,765428,485,2721,512341,562,2161,27982,653483,31363
912626,698782,461557,400081,343,430299,113,8867,63973,79854,3186
293243,16320,72581,448758,122,777604,77125,45773,856,7365,3196
4873,29964,203,486,500,335882,81639,473,7195,1391,329227
538,2266,661,40614,5832,139446,934454,72302,463,521,3383
989,1056,49614,7070,66555,237,154724,919,545317,844,342772
356557,96630,790,845475,647,932042,48065,8157,10256,207148,367
224276,136314,9561,63540,221,542,509,639,923537,581,38477
978274,139163,29945,466,37085,9567,6605,802,143522,84839,3855
71532,3977,714354,391655,330327,1666,376155,334,70149,6254,38938
630152,440717,570,7293,254825,475,9995,394,491892,666,3968
564,2754,46136,4893,51265,363,435,37687,588,6076,41095
76698,4263,469573,34676,196,219594,612833,36120,562,484171,426457
492604,96619,726,239,2725,2437,559376,75244,70194,169954,436
768,634,699339,96125,592081,4169,1442,2774,3108,885,4510
6092,865,933,680945,648,49082,536,444989,7541,660,47895
936180,6854,6831,6484,466801,48866,225,78795,3954,46860,4825
6839,56524,48042,955,74978,339076,589125,552464,55692,7859,4904
520247,9845,375,904327,674604,273816,4597,402256,809243,37917,504792
6297,456700,646869,515,88625,822384,494166,40084,4054,3423,5168
208,42230,369,90999,102265,349836,653,774830,5973,749856,53806
13643,4902,139742,556,636120,62166,294968,9243,29612,99631,547
23770,225544,640402,2331,7959,701,163650,322,440,37271,5522
7340,196257,784,231027,5569,5180,8085,1461,1339,255,5606
108646,577,1508,66194,247809,4609,592,640,77491,699,564
6088,579658,905591,675,68700,120150,917417,1107,36368,911,577
91156,47875,7841,172836,5119,68973,1039,7227,330,686,58634
2818,8162,36275,832180,31540,963757,766009,275868,7231,867,5919
424,575771,7498,7905,480,195110,384,477299,944,18102,6160
