1,49,4,251,37,1
1,47,41,302,199,32
1,451,27,231,4,199
1,41,458,196,16,3
1,4,1,408,3,183
1,4,10,256,35,10
1,4,30,1,369,13
1,39,38,35,36,101
1,35,3,483,23,4
1,335,100,2,33,2
1,301,10,30,32,2
1,3,2,130,1,3
1,3,3,10,33,242
1,3,47,19,274,49
1,297,303,1,24,11
1,288,4,489,410,4
1,247,33,184,224,167
1,24,24,3,20,3
1,224,215,472,2,2
1,209,456,47,28,2
1,20,398,3,292,2
1,2,118,39,4,251
1,2,4,345,2,1
1,2,446,39,3,230
1,190,31,31,27,34
1,19,39,4,41,372
1,152,41,14,298,106
1,13,28,364,2,2
1,129,1,15,397,36
1,113,14,2,264,3
1,109,3,3,45,27
1,10,1,324,47,11
1,1,26,38,1,20
1,1,4,233,218,223
1,1,492,1,46,2
10,49,41,2,16,33
10,49,492,3,2,413
100,3,4,189,1,365
11,28,4,4,3,31
11,1,273,3,179,496
11,1,4,35,306,4
113,269,110,435,16,395
116,380,1,21,2,29
116,260,458,165,45,30
12,4,161,33,136,268
12,378,372,14,31,19
12,125,328,4,1,2
121,47,3,228,45,2
121,4,37,3,313,30
13,1,448,4,10,36
132,4,23,24,4,3
133,1,192,347,3,21
134,26,470,17,4,306
137,41,2,344,3,40
14,281,4,1,1,10
14,2,452,42,290,393
14,179,138,126,3,2
14,10,4,152,37,1
14,1,470,2,395,1
15,397,2,4,49,443
151,483,138,434,4,489
151,41,39,45,3,18
152,2,122,48,2,246
157,30,1,2,282,358
16,387,35,231,4,2
16,2,17,29,3,28
16,2,3,4,1,49
16,119,415,273,11,3
162,426,29,4,291,28
166,455,4,1,17,26
17,41,169,1,2,1
17,4,2,26,43,10
17,353,4,128,282,25
17,335,4,473,22,44
171,1,48,2,180,12
177,27,2,42,285,220
178,252,274,20,25,334
179,376,37,1,46,29
179,19,493,2,117,34
18,3,417,34,4,1
18,298,204,113,14,4
182,14,2,241,45,34
186,38,2,153,10,16
188,2,18,252,2,216
19,4,450,45,1,334
19,3,1,366,177,4
19,2,3,1,367,4
192,230,3,298,143,3
193,2,29,199,25,24
195,440,1,1,2,493
195,425,4,22,1,27
198,29,2,29,2,1
2,47,109,17,417,494
2,43,449,335,372,186
2,414,31,4,3,12
2,4,125,195,3,342
2,4,294,2,40,243
2,4,447,3,35,2
2,384,2,47,19,2
2,34,32,2,391,21
2,338,12,441,135,31
2,3,15,3,1,14
2,3,27,2,3,47
2,261,17,33,12,18
2,253,3,3,376,25
2,25,201,25,30,10
2,24,49,4,337,163
2,21,2,247,268,4
2,2,12,4,1,1
2,2,3,160,16,192
2,2,33,1,1,2
2,2,48,32,362,13
2,19,27,340,49,1
2,19,3,3,1,326
2,18,11,28,2,364
2,160,368,3,49,1
2,14,20,440,39,2
2,13,26,10,17,249
2,108,2,23,194,119
2,1,349,49,33,374
2,1,42,1,25,1
20,48,36,1,241,36
20,451,13,266,36,294
20,4,1,315,34,33
20,348,375,4,304,4
20,30,439,486,2,27
20,26,16,32,30,3
20,2,379,482,32,2
202,31,40,17,2,2
206,221,4,445,41,32
208,37,3,1,247,42
21,44,1,326,185,34
21,431,45,161,13,26
21,43,2,4,197,2
21,350,45,35,1,20
21,14,444,41,375,34
21,11,25,181,1,41
215,48,47,2,2,317
217,42,26,197,2,152
22,498,15,3,2,36
22,48,3,135,260,12
22,470,331,124,2,305
22,4,420,21,3,20
22,32,3,31,22,4
22,200,32,169,102,1
22,2,477,3,29,234
22,1,196,3,1,2
22,1,202,32,3,4
221,320,302,182,4,119
223,335,46,398,447,126
225,49,3,4,4,3
229,2,41,18,21,443
23,4,4,213,41,48
23,20,24,419,131,3
24,499,2,207,2,2
24,340,161,37,201,44
24,279,3,2,24,2
24,264,25,3,14,45
24,126,4,39,424,434
243,2,232,2,153,1
244,2,14,415,448,463
245,350,4,2,2,37
246,23,24,27,38,257
247,483,4,231,33,31
247,3,306,254,4,397
25,46,324,23,114,2
25,4,19,1,2,1
25,231,3,1,395,17
250,4,49,19,3,4
252,17,2,42,2,1
258,28,1,19,4,15
26,4,2,4,269,4
26,3,487,18,2,153
26,22,392,2,4,29
262,4,146,40,269,28
267,20,2,1,10,416
27,44,26,378,47,4
27,3,116,294,451,33
27,1,2,4,48,20
272,22,43,326,2,43
276,325,362,2,33,23
28,380,18,43,30,39
28,36,167,33,1,2
285,136,318,34,43,24
286,25,11,482,340,4
289,107,2,157,1,39
29,419,349,407,473,1
29,37,1,194,3,3
29,230,3,499,10,122
291,39,461,13,4,1
291,30,10,162,298,32
293,12,40,2,38,420
3,47,260,41,15,3
3,447,166,29,16,10
3,446,354,16,39,138
3,44,3,2,1,315
3,44,31,18,48,34
3,430,44,499,336,26
3,401,190,126,3,277
3,40,173,498,486,14
3,4,180,385,442,374
3,4,3,1,4,140
3,4,36,30,195,25
3,4,41,372,34,25
3,39,24,194,10,44
3,38,2,32,4,491
3,367,260,194,29,38
3,36,11,166,4,1
3,36,21,211,233,3
3,34,3,20,2,45
3,333,2,380,49,4
3,33,2,468,481,2
3,3,4,16,2,411
3,259,37,18,47,27
3,251,20,3,4,168
3,25,26,140,1,23
3,25,34,3,47,42
3,24,368,4,1,4
3,215,47,2,1,36
3,2,1,43,17,40
3,2,21,4,42,3
3,2,29,3,4,319
3,2,485,38,32,1
3,199,148,220,2,200
3,195,11,197,186,23
3,19,3,42,455,25
3,109,4,202,2,2
3,10,1,277,271,24
3,1,1,41,22,181
3,1,18,160,47,183
3,1,371,20,2,14
30,20,2,4,2,3
304,2,1,47,200,1
306,46,359,467,34,111
308,227,400,226,44,185
309,44,337,2,259,4
309,317,3,2,42,3
31,49,444,360,38,212
31,468,1,321,38,433
31,45,2,2,1,377
31,4,35,3,206,16
31,33,217,33,30,4
31,21,38,32,3,44
31,2,47,2,2,32
32,378,16,46,2,19
32,36,2,131,4,169
32,339,172,203,1,1
32,12,4,4,347,253
329,371,4,2,2,21
329,1,40,43,480,44
33,3,4,4,4,306
33,28,27,320,26,3
33,18,16,12,193,35
33,109,35,238,209,46
332,393,33,2,4,3
336,303,301,291,20,464
34,48,4,26,1,18
34,46,3,3,22,434
34,429,29,10,359,41
