3,1,1,41,22,181
441,1,1,1,2,2
492,1,1,33,3,3
3,2,1,43,17,40
4,2,1,367,4,11
304,2,1,47,200,1
19,3,1,366,177,4
48,3,1,488,453,4
1,4,1,408,3,183
4,4,1,4,20,18
20,4,1,315,34,33
491,4,1,15,32,372
1,10,1,324,47,11
3,10,1,277,271,24
34,15,1,198,16,3
361,24,1,30,3,1
258,28,1,19,4,15
39,29,1,1,31,4
157,30,1,2,282,358
4,33,1,129,286,154
29,37,1,194,3,3
21,44,1,326,185,34
4,49,1,1,375,119
1,129,1,15,397,36
465,340,1,109,39,105
4,344,1,326,466,1
4,366,1,378,264,3
116,380,1,21,2,29
195,440,1,1,2,493
31,468,1,321,38,433
27,1,2,4,48,20
4,2,2,12,251,1
34,2,2,22,3,25
43,2,2,459,13,30
4,3,2,24,15,403
17,4,2,26,43,10
26,4,2,4,269,4
48,4,2,47,461,4
4,12,2,4,11,289
182,14,2,241,45,34
252,17,2,42,2,1
30,20,2,4,2,3
267,20,2,1,10,416
2,21,2,247,268,4
177,27,2,42,285,220
384,27,2,452,20,4
471,28,2,1,4,10
198,29,2,29,2,1
3,33,2,468,481,2
32,36,2,131,4,169
47,37,2,230,43,2
3,38,2,32,4,491
186,38,2,153,10,16
34,39,2,26,13,304
137,41,2,344,3,40
21,43,2,4,197,2
31,45,2,2,1,377
289,107,2,157,1,39
2,108,2,23,194,119
3,333,2,380,49,4
2,384,2,47,19,2
15,397,2,4,49,443
4,485,2,4,18,100
24,499,2,207,2,2
4,1,3,118,396,38
16,2,3,4,1,49
19,2,3,1,367,4
1,3,3,10,33,242
39,3,3,3,380,19
3,4,3,1,4,140
4,4,3,154,28,352
42,4,3,19,42,1
36,12,3,440,13,30
4,14,3,2,38,26
2,19,3,3,1,326
3,19,3,42,455,25
47,24,3,13,15,22
22,32,3,31,22,4
3,34,3,20,2,45
1,35,3,483,23,4
4,35,3,21,17,46
208,37,3,1,247,42
371,39,3,42,383,1
